Campaign,First Tracked,Last Tracked,Impressions,CTR,Awareness,Engagement,Completion,Client
Workday_FY19_Workday_US_US_Programmatic,5/4/18,11/21/18,691930,2.29%,16.99%,2.20%,151.63%,iCrossing
2018_LOP_TrueMatchBase_4200492500_(LOI,4/18/18,11/21/18,117914,7.05%,81.40%,7.05%,69.21%,Wavemaker
2018AdobeStockQ2_ASY/CRE/002,4/16/18,11/21/18,2419648,2.17%,25.19%,1.92%,86.33%,WaveMaker
2018_LOP_InfallibleProLiner_4200496757,3/29/18,11/21/18,941,8.08%,0.00%,8.08%,103.83%,Wavemaker
2018_affresh_Q2_Digital,3/28/18,11/21/18,1,600.00%,0.00%,600.00%,0.00%,Digitas-
2018_Whirlpool_Q2_Brand|HomeDepot|Lowes|,3/28/18,11/21/18,6,583.33%,0.00%,583.33%,116.67%,Digitas-
2018_Garnier_NutrisseProgrammatic_42004,3/28/18,11/21/18,235,32.77%,100.00%,42.55%,122.55%,Wavemaker
2018_Maytag_Q2_OLA_Brand|HomeDepot|Lowes,3/22/18,11/21/18,5,2700.00%,0.00%,2700.00%,100.00%,Digitas-
2018_LOP_BrowStylistBoost&Set_420050,3/20/18,11/21/18,730926,0.04%,71.43%,0.04%,73.62%,Wavemaker
2018_LOP_RootCoverUp_4200492316_(LOI-L,3/5/18,11/21/18,125236,0.26%,45.45%,0.26%,58.61%,Wavemaker
2018PPDRedkenProgrammatic:Haircare4,3/5/18,11/21/18,31053,0.00%,0.00%,0.00%,24.08%,Wavemaker
MC_HML_NT_O6-N-N-210_Y18_POLV,3/4/18,11/21/18,9236343,0.53%,9.62%,0.52%,68.12%,Connect-
2018_LOP_InfallibleFace_4200498072_(LOI,2/27/18,11/21/18,3483,0.00%,0.00%,0.00%,0.66%,Wavemaker
2018_LOP_LashParadise_4200492477_(LOI-L,2/20/18,11/21/18,115115,0.50%,0.00%,0.50%,20.53%,Wavemaker
2018_Maybelline_FitMe_4200500391_(LOI-M,2/20/18,11/21/18,16334400,0.27%,4.87%,0.27%,74.99%,Wavemaker
2018_Maybelline_TattooBrowGel_42004950,2/2/18,11/21/18,102338,0.04%,0.00%,0.04%,31.27%,Wavemaker
MC_BLU_NT_O6-N-N-212_Y18_POLV,2/1/18,11/21/18,2689337,0.82%,13.90%,0.80%,72.04%,Connect-
2018_Garnier_MicellarDigital_4200500690,2/1/18,11/21/18,4479693,0.53%,14.45%,0.51%,66.40%,Wavemaker
2018_Essie_GelCouture_4200491234_(LOI-E0,1/31/18,11/21/18,4326,22.12%,0.00%,22.12%,68.70%,Wavemaker
MC_BMHI_NT_O6-N-N-212_Y18_POLV,1/31/18,11/21/18,1160,85.09%,12.50%,85.09%,37.41%,Connect-
CHO_YOG_FY18_1Q_HintOfInteractive_Hori,1/26/18,11/21/18,0,0.00%,0.00%,0.00%,0.00%,Horizon-
2018_LOP_Feria_4200491985_(LOI-L15-005),1/24/18,11/21/18,11254,1.40%,0.00%,1.40%,28.09%,Wavemaker
BBU18_THBA_Video_TubeMogul,1/22/18,11/21/18,862233,1.89%,30.49%,1.82%,79.92%,Starcom-Bi
2018_LOP_ColourRicheShine_4200492319_(,1/19/18,11/21/18,1405553,0.64%,18.43%,0.63%,78.27%,Wavemaker
WellsFargo2018_IM_BrandZelle_1Q_TM_St,1/19/18,11/21/18,566,1.41%,0.00%,1.41%,1.24%,OMD-Well
MC_CLG_NT_O6-N-N-112_Y18_POLV,1/17/18,11/21/18,1045,36.17%,38.71%,36.17%,74.55%,Connect-
2018_LOP_Ever_4200492315_(LOI-L11-007),1/13/18,11/21/18,17841344,0.71%,5.36%,0.71%,66.28%,Wavemaker
MC_MLT_NT_O6-N-N-112_Y18_POLV,1/11/18,11/21/18,28016947,0.46%,5.49%,0.46%,69.64%,Connect-
2018_LOP_X-FiberMascara_4200492318_(LOI,1/4/18,11/21/18,30163,0.09%,0.00%,0.09%,38.69%,Wavemaker
2018_Maybelline_SSMatteInkUnNudes_420,1/4/18,11/21/18,240171,0.01%,0.00%,0.01%,54.09%,Wavemaker
2018_Maybelline_Q1Temptation_4200490107,1/3/18,11/21/18,50200,0.18%,99.61%,0.18%,95.48%,Wavemaker
2018_essie_TLC_4200487246_(LOI_E09_002),1/2/18,11/21/18,1440,0.07%,0.00%,0.07%,44.44%,Wavemaker
2018_CeraVe_Programmatic_(LOI-K01-004),12/28/17,11/21/18,0,0.00%,0.00%,0.00%,0.00%,Wavemaker
BlueBuffalo_2018USOLVCampaign_Horizo,12/26/17,11/21/18,7,14.29%,14.29%,14.29%,0.00%,Horizon-
2018_Garnier_FructisStyle_4200481880_(L,12/23/17,11/21/18,21804040,0.77%,7.86%,0.77%,72.01%,Wavemaker
2018_LOP_ElviveProgrammatic_4200491983_,12/21/17,11/21/18,8344116,1.70%,7.10%,1.67%,70.42%,Wavemaker
2018_Garnier_WholeBlends_4200481876_(LO,12/12/17,11/21/18,8267778,0.37%,16.85%,0.37%,68.59%,Wavemaker
2017_Garnier_NaturalsDigital_4200463647,11/30/17,11/21/18,10459,0.00%,0.00%,0.00%,50.00%,Wavemaker
2017_Garnier_Q4ProgrammaticFructisS&C,11/30/17,11/21/18,3001,0.07%,0.00%,0.07%,1.60%,Wavemaker
2017_LOP_AgePerfectRosyTone_420043595,11/17/17,11/21/18,1721,0.00%,0.00%,0.00%,47.18%,Wavemaker
SandersonFarmsFY2018,11/3/17,11/21/18,8000782,1.68%,5.09%,1.68%,60.76%,OMG-Path
2017_Garnier_SkinActiveMicellar2HProg,10/16/17,11/21/18,73,5.48%,0.00%,5.48%,83.56%,Wavemaker
2017_LOP_RevitaliftSkinRevitalizer_420,10/11/17,11/21/18,20815,2.86%,0.00%,2.86%,30.02%,Wavemaker
LOreal_2017_LOP_COSVoluminousLashPar,9/13/17,11/21/18,11819,0.01%,0.00%,0.01%,45.26%,Wavemaker
2017_PPD_Matrix_BiolageRAW_Digital_4200,8/18/17,11/21/18,973,0.92%,0.00%,0.92%,0.31%,Wavemaker
LOreal_2017_Maybelline_MasterPreciseI,8/7/17,11/21/18,271,33.21%,0.00%,33.21%,98.15%,Wavemaker
LOreal_2017_LOP_ColourRicheMatte_(LOI,7/20/17,11/21/18,3638,1.13%,0.00%,1.13%,0.08%,Wavemaker
LOreal_2017_Maybelline_SSMatteInk_(LO,7/19/17,11/21/18,1142,2.80%,0.00%,2.80%,90.89%,Wavemaker
LOreal_2017_LOP_AHCColorVibrancy_(LOI,6/12/17,11/21/18,3387,0.00%,0.00%,0.00%,18.42%,Wavemaker
ESPN_NBAFY17_POST,5/11/17,11/21/18,0,0.00%,0.00%,0.00%,0.00%,Starcom-ES
LOreal_2017_Garnier_MoistureBombSheetMa,4/26/17,11/21/18,3914,0.05%,0.00%,0.05%,4.85%,Wavemaker
LOreal_2017_LOP_PureClayMask_(LOI-L60,4/6/17,11/21/18,735,0.00%,0.00%,0.00%,0.00%,Wavemaker
LOreal_2017_LOP_HydraGenius_4200437671,3/29/17,11/21/18,3868,0.05%,0.00%,0.05%,0.85%,Wavemaker
Henkel_HENK_PERSIL_1Q17_OLV_75370_Starco,2/14/17,11/21/18,7,571.43%,0.00%,571.43%,85.71%,Starcom-
LOreal_2017_Garnier_FructisStyleDigit,2/3/17,11/21/18,10697,0.06%,0.00%,0.06%,9.25%,Wavemaker
LOreal_2017_Garnier_WholeBlendsDigita,1/27/17,11/21/18,4799,0.00%,0.00%,0.00%,0.02%,Wavemaker
THDGeneral_DigitalVideoUpfront_Oct20,12/23/16,11/21/18,5,100.00%,80.00%,100.00%,0.00%,Carat-Ho
KFG_NOV_2016_KRTRQ4UPFOLVTM,10/24/16,11/21/18,1,100.00%,0.00%,100.00%,0.00%,Starcom-Kr
SPNT_CMS_70015_15_Q4_DACT_GM|ZMOT,10/12/15,11/21/18,22,0.00%,0.00%,0.00%,172.73%,Mediavest
OG_FY16_NEPB_OLVDIS,10/1/15,11/21/18,49,0.00%,0.00%,0.00%,55.10%,Starcom-Da
OG_FY16_W4Lunch_OLVDIS,10/1/15,11/21/18,26,0.00%,0.00%,0.00%,123.08%,Starcom-Da
HallmarkShoebox,7/7/15,11/21/18,18,0.00%,0.00%,0.00%,44.44%,Starcom-Ha
USArmy_15-021VideoProspect_Universal,2/13/15,11/21/18,4,0.00%,0.00%,0.00%,0.00%,Universal
2018_July/Aug_EveryDrop_Brand_Digital,7/17/18,11/20/18,7,257.14%,0.00%,257.14%,100.00%,Digitas-
2018_Maybelline_TattooBrowTintPen_420,7/17/18,11/20/18,993,3.73%,378.57%,3.73%,119.64%,Wavemaker
18Q2_MEDC-Travel_General_Standard_2018L,4/11/18,11/20/18,2,50.00%,100.00%,50.00%,50.00%,Universal
2018_KitchenAid_Smalls__FoodPro_Q1_Brand,3/14/18,11/20/18,0,0.00%,0.00%,0.00%,0.00%,Digitas-
LOreal_2017_LUXE_EmporioArmani_(LOI-A0,9/19/17,11/20/18,0,0.00%,0.00%,0.00%,0.00%,Wavemaker
LOreal_2017_PPD_Baxter_Awareness_Digita,8/14/17,11/20/18,0,0.00%,0.00%,0.00%,0.00%,Wavemaker
LOreal_2017_LOP_ProMatteLiquidLip_(L,8/10/17,11/20/18,3,566.67%,0.00%,566.67%,100.00%,Wavemaker
LOreal_2017_Maybelline_LashSensational,6/26/17,11/20/18,0,0.00%,0.00%,0.00%,0.00%,Wavemaker
2017ThisFreeLife(31232-004),5/3/17,11/20/18,0,0.00%,0.00%,0.00%,0.00%,HaworthMe
Henkel_HENK_DIALFORMEN_2017_OLV_75619_St,3/10/17,11/20/18,2,150.00%,0.00%,150.00%,50.00%,Starcom-
SandersonFarms_SandersonFarmsFY2017_,11/1/16,11/20/18,1,100.00%,0.00%,100.00%,0.00%,OMG-Path
OG_FY16_Q2_2H_NEPB_HMOLV,10/6/15,11/20/18,6,0.00%,0.00%,0.00%,0.00%,Tapestry-
TDAmeritrade_2015-Q4-Standard-Core_Ogil,7/1/15,11/20/18,16,0.00%,0.00%,0.00%,50.00%,Ogilvy-TD
OG_FY15_CucinaMia_Reg_DIS_OLV,5/4/15,11/20/18,1,0.00%,0.00%,0.00%,0.00%,Starcom-Da
OG_FY15_FourCourse-BOTO-DinnerDuos,2/18/15,11/20/18,4,0.00%,0.00%,0.00%,75.00%,Starcom-Da
USArmy_15-021VideoInfluencer_Universa,2/12/15,11/20/18,3,0.00%,0.00%,0.00%,133.33%,Universal
2018_LOP_ColourRicheUltraMatte_420052,9/22/18,11/19/18,8190290,1.39%,48.17%,1.39%,54.79%,Wavemaker
2018_Whirlpool_Q3_Brand|HomeDepot|Lowes|,6/26/18,11/19/18,340108,0.37%,17.40%,0.37%,93.91%,Digitas-
2018_Q3_affresh_Digital,6/25/18,11/19/18,50,82.00%,96.43%,82.00%,68.00%,Digitas-
2018_affresh_Q1_Digital,2/6/18,11/19/18,3,1633.33%,0.00%,1633.33%,66.67%,Digitas-
GPDX_DXI_AWA_DixieUltra_Q1_2018,2/5/18,11/19/18,106,0.00%,0.00%,0.00%,32.08%,ZenithOpt
2018_MCB_CDAlmondMilkLeDesk_4200494,1/31/18,11/19/18,0,0.00%,0.00%,0.00%,0.00%,Wavemaker
2017_Affresh_Q4_Digital,11/13/17,11/19/18,0,0.00%,0.00%,0.00%,0.00%,Digitas
LOreal_2017_LUXE_Lancome_Mr.Big_(LOI-O0,7/25/17,11/19/18,49,18.37%,0.00%,18.37%,95.92%,Wavemaker
LOreal_2017_Maybelline_CityMinis_(LOI-,7/7/17,11/19/18,0,0.00%,0.00%,0.00%,0.00%,Wavemaker
La-Z-Boy_FYPY17_LZB_USA_T2_Video_4thofJu,6/17/17,11/19/18,2,0.00%,300.00%,0.00%,250.00%,RPA-La-Z
KFG_JUN_2016_KRNUQ3UPFOLVTM,6/21/16,11/19/18,2,200.00%,50.00%,200.00%,100.00%,Starcom-Kr
KFG_JAN_2016_KHBBQ1UPFOLVTM,1/7/16,11/19/18,15,0.00%,0.00%,0.00%,46.67%,Starcom-Kr
18Q2_MEDC-Travel_General_Standard_2018N,6/4/18,11/18/18,3,133.33%,100.00%,133.33%,33.33%,Universal
2018_KitchenAid_Smalls__Baking_Q1_Brand_,2/26/18,11/18/18,0,0.00%,0.00%,0.00%,0.00%,Digitas-
LOreal_2017_LOP_VoluminousOriginal_(LO,5/2/17,11/18/18,0,0.00%,0.00%,0.00%,0.00%,Wavemaker
WellsFargoBranding/Checking2017-GM_,4/15/17,11/18/18,2,1700.00%,0.00%,1700.00%,150.00%,OMD-Well
Henkel_HENK_PUREX_Q2_2017_OLV_76028_Star,3/30/17,11/18/18,13,38.46%,0.00%,38.46%,61.54%,Starcom-
BBU18_ENLB_Video_TubeMogul,1/26/18,11/17/18,769205,1.81%,26.56%,1.75%,71.80%,Starcom-Bi
WellsFargo20174Q17HolidayHispStre,11/21/17,11/17/18,0,0.00%,0.00%,0.00%,0.00%,OMD-Well
LOreal_2017_LOP_Feria_4200439632_(LOI-L,3/13/17,11/17/18,6,0.00%,0.00%,0.00%,100.00%,Wavemaker
KFG_SEP_2016_KRBCQ4UPFOLVTM,9/15/16,11/17/18,0,0.00%,0.00%,0.00%,0.00%,Starcom-Kr
2017_LOP_HCLExcellence_4200450521_(LOI_,4/24/17,11/16/18,1,300.00%,0.00%,300.00%,0.00%,Wavemaker
2017_Maytag_Q2_Brand|HomeDepot|Lowes|Bes,3/26/17,11/16/18,0,0.00%,0.00%,0.00%,0.00%,Digitas
Henkel_HENK_GLISS_2017_OLV_75609_Starcom,2/23/17,11/15/18,3,0.00%,0.00%,0.00%,133.33%,Starcom-
Exxon_2016PVLM1EPVideo_UniversalMcC,4/13/16,11/15/18,0,0.00%,0.00%,0.00%,0.00%,Universal
2017_CeraVe_Q4_Programmatic_(LOI-K01-003,10/30/17,11/14/18,9,22.22%,0.00%,22.22%,11.11%,Wavemaker
LOreal_2017_LOP_AHCTR5_(LOI-L46-001)_M,4/29/17,11/14/18,0,0.00%,0.00%,0.00%,0.00%,Wavemaker
CPBL23-D24PaintGliddenDiamondDigital,4/13/17,11/14/18,1,600.00%,0.00%,600.00%,0.00%,Carat-Ho
Henkel_HENK_DIALBODYWASH_2017_OLV_75431_,3/9/17,11/14/18,2,50.00%,0.00%,50.00%,50.00%,Starcom-
BlueBuffalo_BlueBuffalo2017USOLVCa,1/18/17,11/14/18,0,0.00%,0.00%,0.00%,0.00%,Horizon-
2018_LUXE_RALPHLAUREN_POLOBLUE_CTVTra,6/5/18,11/13/18,3,0.00%,0.00%,0.00%,100.00%,Wavemaker
WellsFargo2018_IM_BrandZelle_1Q_DS_St,1/19/18,11/13/18,1,900.00%,0.00%,900.00%,100.00%,OMD-Well
2017_IDC_YSL_BlackOpiumPubco_420047768,11/21/17,11/13/18,4,0.00%,50.00%,0.00%,25.00%,Wavemaker
2017_Maytag_Q4_Brand|HomeDepot|Lowes|Bes,9/22/17,11/13/18,0,0.00%,0.00%,0.00%,0.00%,Digitas
2017_PPD_Redken_CleanManiac_Digital_X_(,9/12/17,11/13/18,1,0.00%,0.00%,0.00%,100.00%,Wavemaker
LOreal_2017_Garnier_FructisS+CBigLau,3/22/17,11/13/18,1,0.00%,0.00%,0.00%,0.00%,Wavemaker
starcom_greetings_all_2016.hk.cgr.hol_11,11/22/16,11/13/18,0,0.00%,0.00%,0.00%,0.00%,Starcom-Ha
KFG_SEP_2016_KRDFQ4UPFOLVTM,9/21/16,11/13/18,3,0.00%,0.00%,0.00%,100.00%,Starcom-Kr
FY16_Q3Q4_Maserati_NTL_LEVANTEDIGITALL,9/16/16,11/13/18,0,0.00%,0.00%,0.00%,0.00%,Universal
QN1_WAG_Will&Grace_S1_Fall2017,8/23/17,11/12/18,0,0.00%,0.00%,0.00%,0.00%,EssenceLA
Henkel_HENK_RIGHTGUARD_2017_OLV_Display_,5/2/17,11/12/18,2,50.00%,0.00%,50.00%,0.00%,Starcom-
LOreal_2017_LOP_Colorista_(LOI-L78-01)_,3/20/17,11/12/18,0,0.00%,0.00%,0.00%,0.00%,Wavemaker
KFG_JUN_2016_KRLTQ3UPFOLVTM,6/23/16,11/12/18,1,100.00%,100.00%,100.00%,0.00%,Starcom-Kr
KFG_JUN_2016_KRBCQ3UPFOLVTM,6/21/16,11/12/18,1,100.00%,100.00%,100.00%,0.00%,Starcom-Kr
KFG_01_2017_KHSO_UPFOLV_KHSO,1/11/17,11/11/18,0,0.00%,0.00%,0.00%,0.00%,Starcom-Kr
HallmarkHoliday_Q42015,11/25/15,11/11/18,0,0.00%,0.00%,0.00%,0.00%,Starcom-Ha
KFG_JUL_2015_EAQ3UPFOLV,7/28/15,11/11/18,3,0.00%,0.00%,0.00%,0.00%,Starcom-Kr
MC_CLHI_NT_O6-N-N-112_Y18_POLV,1/18/18,11/10/18,899,4.12%,42.47%,4.12%,36.71%,Connect-
2017_Maytag_Q3_Brand|HomeDepot|Lowes|Bes,7/6/17,11/10/18,1,0.00%,0.00%,0.00%,100.00%,Digitas
LOreal_2017_essie_Trend_(LOI-E01-003)_M,3/20/17,11/9/18,0,0.00%,0.00%,0.00%,0.00%,Wavemaker
OCN4_E4_Upfront_Prisma70209_2017_TacoBel,4/3/17,11/8/18,0,0.00%,0.00%,0.00%,0.00%,Digitas
BlueBuffalo_BlueBuffalo2016OLV_Horiz,12/29/15,11/7/18,0,0.00%,0.00%,0.00%,0.00%,Horizon-
LOreal_2017_MCB_SSC_GoIntense_Q2Y17_(L,3/22/17,11/6/18,1,0.00%,0.00%,0.00%,0.00%,Wavemaker
LOreal_2017_MCB_CD_BlackVanillaQ2Y17_,3/30/17,11/5/18,0,0.00%,0.00%,0.00%,0.00%,Wavemaker
starcom_greetings_all_2017.hk.cgr.md_5.1,4/28/17,11/4/18,0,0.00%,0.00%,0.00%,0.00%,Starcom-Ha
KFG_01_2017_KRMM_TOLV_KRMM,1/20/17,11/2/18,0,0.00%,0.00%,0.00%,0.00%,Starcom-Kr
FYI_Arranged_Horizon-FYI_Apr2015_1092,4/6/15,11/1/18,6,0.00%,0.00%,0.00%,0.00%,Horizon-
2016_AllyBank_VID_SAV_CNSD_KidsReunion,7/2/16,10/31/18,1,100.00%,0.00%,100.00%,100.00%,Spark-Al
17Q1_MEDC-Travel_General_Standard_2017G,2/28/17,10/29/18,0,0.00%,0.00%,0.00%,0.00%,Universal
KFG_MAR_2016_EAQ2UPFOLVTM,3/22/16,10/29/18,1,0.00%,0.00%,0.00%,100.00%,Starcom-Kr
CHO_YOG_FY18_Q1_DrinkInteractive_Mar1,3/26/18,10/28/18,1,0.00%,0.00%,0.00%,0.00%,Horizon-
2016_Video_Enterprise_LocalMarket,11/3/16,10/26/18,0,0.00%,0.00%,0.00%,0.00%,Digitas-
WellsFargo18_CBD_ScaleMarkets-VIT_33,2/16/18,10/24/18,0,0.00%,0.00%,0.00%,0.00%,OMD-Well
ZNB_GNJ_GeniusJr_S1_Midseason2018,2/23/18,10/21/18,0,0.00%,0.00%,0.00%,0.00%,EssenceLA
F18WeatherTriggerDigital,3/5/18,10/15/18,3,0.00%,0.00%,0.00%,0.00%,CompassPo
KFG_OCT_2016_KRMYQ4UPFOLVTM,9/27/16,10/15/18,0,0.00%,0.00%,0.00%,0.00%,Starcom-Kr
2016AnaphylaxisDA,6/17/16,10/5/18,3,0.00%,66.67%,33.33%,66.67%,DigitasHe
KFG_MAR_2016_KRUPQ2UPFOLVTM,3/21/16,10/5/18,0,0.00%,0.00%,0.00%,0.00%,Starcom-Kr
Mercedes_EvergreenVideo_Merkley&Partn,12/27/16,10/4/18,2,0.00%,0.00%,0.00%,100.00%,Merkley&
KFGH_MAR_2016_PCQ2HMUPFOLVTM,3/18/16,10/4/18,1,0.00%,0.00%,0.00%,0.00%,Starcom-Kr
LOreal_2017_Maybelline_BrowChalk_42004,7/12/17,10/3/18,0,0.00%,0.00%,0.00%,0.00%,Wavemaker
TDAmeritrade_Q4TDAmeritrade_Ogilvy_Q3,6/30/16,10/3/18,1,100.00%,0.00%,100.00%,0.00%,Ogilvy-TD
CapitalOne_CapitalOne2016OLV2HBrid,6/29/16,10/3/18,5,100.00%,100.00%,100.00%,0.00%,Horizon-
KFG_JUN_2016_KRVCQ3UPFOLVTM,6/21/16,10/3/18,1,100.00%,100.00%,100.00%,0.00%,Starcom-Kr
KFG_JUN_2016_KRKPQ3UPFOLVTM,6/20/16,10/3/18,1,0.00%,0.00%,0.00%,100.00%,Starcom-Kr
KFG_JUN_2016_KRMYQ3UPFOLVTM,6/20/16,10/3/18,1,100.00%,100.00%,100.00%,0.00%,Starcom-Kr
KFG_JUN_2016_KRDFQ2UPFOLVTM,6/13/16,10/3/18,2,100.00%,0.00%,100.00%,0.00%,Starcom-Kr
KFGS_JUN_2016_KRWLQ2UPFOLVTM,6/8/16,10/3/18,5,80.00%,100.00%,80.00%,0.00%,Starcom-Kr
KFG_JUN_2016_KRNUQ2UPFOLVTM,6/3/16,10/3/18,1,100.00%,100.00%,100.00%,0.00%,Starcom-Kr
2018AdobeExperienceCloudQ1Extension,2/21/18,10/2/18,0,0.00%,0.00%,0.00%,0.00%,WaveMaker
